"";"X";"hexid";"meta_1";"meta_2";"meta_3";"meta_4";"meta_5";"meta_6";"meta_pop"
"193";193;193;33482,164985813;34962,2997803571;38286,6284575581;37535,4054915612;40477,2901840111;44085,8213987934;228829,610298094
"194";194;194;21443,4995756419;21332,0332594935;21652,6746733354;29242,6881214061;21684,4821022157;25643,5707723452;140998,948504438
"195";195;195;11862,3006774485;12208,4146692537;13114,019430155;11691,3720889367;13047,2964616224;13746,2348002834;75669,6381276997
"196";196;196;205939,651670402;207438,26127129;195289,713825668;183149,851389716;189190,629224234;193216,341399239;1174224,44878055
"197";197;197;50709,4673685427;48527,1668884741;46210,644324452;50143,4584648467;42121,8427019984;46400,4449376555;284113,024685969
"198";198;198;924,097918166148;791,843025464619;949,184378661485;929,753452732844;1063,26796926801;871,243036190254;5529,38978048336
"199";199;199;3771,07024863557;3463,49533862476;3385,86459592333;2973,85225866465;2880,71777340424;2882,02826776515;19357,0284830177
"200";200;200;8079,35318003129;6647,35730184906;7000,85785730331;6938,70997566976;7121,53822563358;6612,02038130449;42399,8369217915
"201";201;201;1567,37713882593;1681,60688079609;1126,84913336547;1334,96397397297;890,589458513236;1388,96993724578;7990,35652271948
"202";202;202;1837,74920661237;1615,9637860485;1586,88272682143;1883,38122541616;1581,10911230526;1857,03726685226;10362,123324056
"203";203;203;32,3351663600841;17,7296661900679;42,7597848213816;47,1213592422316;18,9005753277117;41,1581587135048;200,004710654982
"204";204;204;7,79122272677967;6,25789790246342;8,6715539017362;4,06722259426872;6,86934244103493;6,44729790182022;40,1045374681032
"205";205;205;3,18221357646965;12,0007902646015;25,0594389651626;1,05922237310558;17,1905150327514;6,24894714125548;64,7411273533462
"206";206;206;1,95182113174764;0,975910565873822;0,975910565873822;0,186571137593524;0;0;4,09021340108881
"207";207;207;60,5168662101792;73,6343530397894;59,3300639862755;47,9919913430373;49,0183699559935;54,5175279469196;345,009172482194
"208";208;208;1969,83115484525;2511,37174739189;2807,48998684171;2034,01954625504;1600,5810307229;2479,35075878597;13402,6442248428
"209";209;209;398,390239721547;485,697337302823;599,915851028949;348,885613808326;415,521352549069;501,087722430187;2749,4981168409
"210";210;210;476,327253345602;532,470464598843;536,843035007657;653,835781402514;568,224984647945;777,574028357813;3545,27554736037
"211";211;211;49092,2955360731;53212,4187274233;52539,845724415;43278,5376179257;49890,6975387165;47748,1325451197;295761,927689673
"212";212;212;217692,262664875;221428,302928942;219658,220898407;221937,501147684;211203,063051931;229716,413291942;1321635,76398378
"213";213;213;17078,5213821993;18797,3856989023;18573,4034776655;15743,9170855658;18209,5537721744;20585,1415329983;108987,922949506
"214";214;214;3348,17640382132;3774,69702301421;3315,94149080181;3379,6080115773;3799,86197832277;4432,87568847287;22051,1605960103
"215";215;215;4356,01095672184;4947,07226944275;6729,37025121548;6246,97103882921;5278,23205839316;4979,89749951779;32537,5540741202
"216";216;216;248532,812158249;262593,413419577;259834,317128696;253526,876965515;234992,260234544;257262,460299701;1516742,14020628
"217";217;217;88258,8033436649;92245,7459656211;90572,7118646778;94657,7703239473;87446,896615227;91448,6384843073;544630,566597445
"218";218;218;3028,31590081073;3734,26911052655;3350,14099160609;4298,21124665888;3524,49231193398;3099,11429355822;21034,5438550945
"219";219;219;3270,84085264998;2506,94804146294;2604,92986056422;3405,71115743361;2798,52550152455;2967,62462405638;17554,5800376917
"220";220;220;10126,5972301336;8638,46747962274;9397,53251575897;9181,7072745788;8774,34959363212;6881,63966831818;53000,2937620444
"221";221;221;976,531585142908;902,113938198985;1052,97079959551;1017,53907776807;911,023600817834;746,70469888731;5606,88370041062
"222";222;222;257,658425125405;186,426539150739;201,955528434218;131,551430010667;315,442642862628;148,069257691144;1241,1038232748
"223";223;223;106,731932667576;93,3442972291095;119,566046747224;153,453818164223;130,717885360372;64,917270134647;668,731250303151
"224";224;224;202,058123722243;214,296911569924;175,68043569767;118,745841908593;182,534342335643;216,981247541009;1110,29690277508
"225";225;225;0,898001269585516;10,0142411976802;15,7381874077625;3,38408820808326;3,31506151114457;1,49064028237088;34,8402198766269
"226";226;226;30,4371067688692;20,4670915524137;11,7490731288611;20,4683727660953;20,0479063162613;24,1107906916674;127,280341224168
"227";227;227;58,951291400488;47,9009142265191;55,678292030515;41,2830629883156;122,755256078161;117,917930488051;444,48674721205
"228";228;228;3,52784103274844;5,31932280719101;1,40562416148571;26,1607716732451;7,45916164447393;47,1697967545785;91,0425180737227
"229";229;229;1523,06310776413;1966,95956606156;1536,46689492644;1130,72534996437;1113,51462507113;1510,91978513349;8781,64932892112
"230";230;230;5,8127507919876;3,77673380335023;3,79227591776731;6,02412354805987;3,22343453010221;2,39348562023019;25,0228042114974
